City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Goundam,ML,16.4145,-3.6708,99.7,19,23,12.41,few clouds
260,Torbay,CA,47.6666,-52.7314,72.37,53,75,17.27,broken clouds
261,Taybad,IR,34.74,60.7756,74.17,44,39,20.22,scattered clouds
262,Namibe,AO,-15.1961,12.1522,71.46,53,0,6.08,clear sky
263,Remanso,BR,-9.6179,-42.0831,82.17,49,48,4.61,scattered clouds
264,Irece,BR,-11.3042,-41.8558,80.73,36,30,4.12,scattered clouds
265,Gweru,ZW,-19.45,29.8167,48.04,95,23,9.22,few clouds
266,Kambove,CD,-10.8764,26.5969,55.53,68,2,4.14,clear sky
267,Marienburg,PL,54.0359,19.0266,63.12,86,32,3.29,scattered clouds
268,Tiksi,RU,71.6872,128.8694,38.91,72,72,7.52,broken clouds
269,Dalvik,IS,65.9702,-18.5286,46.33,97,100,4.68,overcast clouds
270,Shirokiy,RU,49.758,129.523,59.4,77,4,4.34,clear sky
271,Namatanai,PG,-3.6667,152.4333,79.75,77,5,6.91,clear sky
272,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,26.46,few clouds
273,Trat,TH,12.5,102.5,82.9,89,100,1.68,overcast clouds
274,Vicuna,CL,-30.0319,-70.7081,78.76,19,0,2.93,clear sky
275,Mahenge,TZ,-8.6833,36.7167,62.67,69,77,3.31,broken clouds
276,Panzhihua,CN,26.5851,101.7128,70.97,89,98,1.63,overcast clouds
277,Boralday,KZ,43.3578,76.8594,64.26,63,20,0.0,few clouds
278,Guerrero Negro,MX,27.9769,-114.0611,76.64,53,4,17.09,clear sky
279,Kungurtug,RU,50.5994,97.5228,46.63,54,0,1.83,clear sky
280,Tashtyp,RU,52.7939,89.8983,61.39,78,100,5.5,overcast clouds
281,Neuquen,AR,-38.9516,-68.0591,58.89,38,0,0.0,clear sky
282,Otane,NZ,-39.8833,176.6333,55.0,71,100,5.75,overcast clouds
283,Makubetsu,JP,45.3714,141.8211,49.64,96,98,5.26,overcast clouds
284,Isangel,VU,-19.55,169.2667,78.91,84,98,6.22,overcast clouds
285,Inuvik,CA,68.3499,-133.7218,45.61,84,100,9.22,overcast clouds
286,Nishihara,JP,26.1842,127.7558,75.25,94,75,5.75,broken clouds
287,Hofn,IS,64.2539,-15.2082,50.5,76,100,7.92,light rain
288,Bani,DO,18.2833,-70.3333,89.04,64,92,15.99,overcast clouds
289,Faya,SA,18.3851,42.4509,75.31,30,2,3.33,clear sky
290,Gat,IL,31.61,34.7642,86.4,25,0,5.82,clear sky
291,Kyra,RU,49.5776,111.9753,51.19,95,100,5.21,overcast clouds
292,Korla,CN,41.7597,86.1469,79.0,23,67,10.47,broken clouds
293,Pingliang,CN,35.5392,106.6861,58.91,83,98,2.17,overcast clouds
294,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,19,0,8.05,clear sky
295,Canutama,BR,-6.5339,-64.3831,76.33,72,100,4.61,light rain
296,Sarab,IR,38.6066,44.9883,67.37,60,39,1.34,scattered clouds
297,Shelburne,CA,44.0787,-80.2041,69.91,60,33,10.0,scattered clouds
298,Paamiut,GL,61.994,-49.6678,42.44,74,100,3.36,overcast clouds
299,Kavaratti,IN,10.5669,72.642,83.07,78,97,19.08,overcast clouds
300,Silopi,TR,37.2497,42.4694,79.97,28,2,0.98,clear sky
301,Chapais,CA,49.7834,-74.8492,65.98,56,98,2.55,overcast clouds
302,Dryden,CA,49.7833,-92.7503,66.49,45,0,8.05,clear sky
303,Caravelas,BR,-17.7125,-39.2481,73.36,86,39,7.63,scattered clouds
304,Beloha,MG,-25.1667,45.05,67.21,83,2,14.05,clear sky
305,Cabo San Lucas,MX,22.8909,-109.9124,90.7,63,5,13.67,clear sky
306,Tasiilaq,GL,65.6145,-37.6368,39.36,70,7,1.07,clear sky
307,Ostrovnoy,RU,68.0531,39.5131,53.06,70,33,12.71,scattered clouds
308,Trairi,BR,-3.2778,-39.2689,76.53,79,19,6.8,few clouds
309,Roald,NO,62.5833,6.1333,60.17,72,100,10.36,overcast clouds
310,Voh,NC,-20.9667,164.7,72.52,87,99,6.02,overcast clouds
311,Saint-Joseph,RE,-21.3667,55.6167,64.78,78,24,12.62,few clouds
312,Zabaykalsk,RU,49.6333,117.3167,55.65,94,100,13.82,overcast clouds
313,Bonfim,BR,3.0833,-59.95,77.34,83,93,1.63,overcast clouds
314,Lumsden,CA,50.6501,-104.8678,77.0,33,100,6.73,overcast clouds
315,Prince Rupert,CA,54.3161,-130.3201,53.69,79,100,23.02,overcast clouds
316,Poum,NC,-20.2333,164.0167,75.07,82,97,17.11,overcast clouds
317,Srednekolymsk,RU,67.45,153.6833,57.15,47,6,3.67,clear sky
318,Lahij,YE,13.1667,44.5833,85.89,44,17,1.01,few clouds
319,Olafsvik,IS,64.8945,-23.7142,45.9,85,100,9.04,overcast clouds
320,Topolobampo,MX,25.6,-109.05,87.71,37,0,14.97,clear sky
