City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Brazzaville,CG,2022-06-01 03:01:39,-4.2658,15.2832,74.55,77,44,0.83
235,Georgetown,MY,2022-06-01 03:01:15,5.4112,100.3354,82.33,78,20,2.3
236,Cravo Norte,CO,2022-06-01 03:01:39,6.3017,-70.2041,77.95,75,100,1.7
237,Mapiripan,CO,2022-06-01 03:01:40,2.8892,-72.1256,72.59,98,100,4.65
238,Kruisfontein,ZA,2022-06-01 03:01:40,-34.0033,24.7314,48.83,63,53,7.63
239,Koson,UZ,2022-06-01 03:01:40,39.0375,65.585,73.72,26,0,15.21
240,San Pedro,PH,2022-06-01 02:57:20,14.35,121.0167,85.35,75,100,5.75
241,Kargasok,RU,2022-06-01 03:01:41,59.0556,80.8572,54.66,52,98,8.3
242,Darnah,LY,2022-06-01 03:01:41,32.767,22.6367,72.82,50,6,10.65
243,Kavaratti,IN,2022-06-01 03:01:41,10.5669,72.642,82.26,77,100,17.11
244,Derzhavinsk,KZ,2022-06-01 03:01:42,51.1,66.3167,56.68,59,62,13.94
245,Norfolk,US,2022-06-01 02:56:43,42.1668,-71.2495,58.6,92,100,5.75
246,Huicungo,PE,2022-06-01 03:01:42,-7.2833,-76.8,70.47,98,100,1.52
247,Mana,GF,2022-06-01 03:01:42,5.6592,-53.7767,76.37,91,100,5.08
248,Hovd,MN,2022-06-01 03:01:43,48.0056,91.6419,68.77,37,100,11.36
249,Ukiah,US,2022-06-01 03:00:04,39.1502,-123.2078,72.64,53,15,4.23
250,Pevek,RU,2022-06-01 03:01:43,69.7008,170.3133,35.22,81,93,3.24
251,Hasaki,JP,2022-06-01 03:01:43,35.7333,140.8333,81.28,64,100,7.47
252,Bud,US,2022-06-01 03:01:44,39.447,-86.1758,78.82,69,91,7.0
253,Kahului,US,2022-06-01 02:57:18,20.8947,-156.47,80.96,88,59,11.99
254,Sechura,PE,2022-06-01 03:01:44,-5.5569,-80.8222,65.68,76,31,15.77
255,Sitka,US,2022-06-01 02:57:03,57.0531,-135.33,51.69,82,75,6.91
256,Lorengau,PG,2022-06-01 03:01:22,-2.0226,147.2712,83.03,68,19,3.0
257,Severo-Kurilsk,RU,2022-06-01 03:01:45,50.6789,156.125,43.29,82,71,2.77
258,San Nicolas,PH,2022-06-01 03:01:45,18.1725,120.5953,86.54,69,69,5.37
259,Saskylakh,RU,2022-06-01 03:01:45,71.9167,114.0833,32.54,84,100,10.65
260,Markova,UA,2022-06-01 03:01:46,48.6758,24.4138,54.52,87,75,2.33
261,Tshikapa,CD,2022-06-01 03:00:29,-6.4167,20.8,69.49,56,14,3.2
262,Puerto Del Rosario,ES,2022-06-01 03:01:46,28.5004,-13.8627,71.35,83,100,3.44
263,Oussouye,SN,2022-06-01 03:01:46,12.485,-16.5469,76.33,75,25,6.89
264,Turbat,PK,2022-06-01 03:01:47,26.0023,63.044,85.53,52,7,2.46
265,Broome,US,2022-06-01 03:01:47,42.2506,-75.833,72.7,81,89,1.01
266,Namatanai,PG,2022-06-01 03:01:47,-3.6667,152.4333,80.73,75,63,3.36
267,Ak-Dovurak,RU,2022-06-01 03:01:47,51.1833,90.6,59.07,74,100,1.1
268,Port Hedland,AU,2022-06-01 03:01:48,-20.3167,118.5667,66.25,68,73,12.66
269,Puerto Cabezas,NI,2022-06-01 03:01:48,14.0351,-83.3888,79.0,87,96,7.02
270,Carnarvon,AU,2022-06-01 03:01:48,-24.8667,113.6333,64.54,56,0,17.58
271,Hualmay,PE,2022-06-01 03:01:49,-11.0964,-77.6139,62.53,83,35,10.31
272,Baculin,PH,2022-06-01 03:01:49,7.4525,126.5842,86.95,67,7,8.16
273,Dombarovskiy,RU,2022-06-01 03:01:49,50.7587,59.5386,59.45,67,6,8.3
274,North Bend,US,2022-06-01 03:02:50,43.4065,-124.2243,60.85,97,0,14.97
275,Vardo,NO,2022-06-01 03:02:50,70.3705,31.1107,42.21,88,31,9.22
276,Samarai,PG,2022-06-01 03:02:50,-10.6167,150.6667,82.63,74,92,10.98
277,Araouane,ML,2022-06-01 03:02:51,18.9048,-3.5265,91.15,24,100,5.68
278,Fort Nelson,CA,2022-06-01 03:02:51,58.8053,-122.7002,67.05,36,51,2.71
279,Veselynove,UA,2022-06-01 03:02:51,47.3567,31.2349,61.77,95,10,7.63
280,Finale Emilia,IT,2022-06-01 03:02:52,44.8346,11.2939,64.53,95,7,1.88
281,San Patricio,US,2022-06-01 03:02:52,28.017,-97.5169,83.89,82,7,11.68
282,Zalantun,CN,2022-06-01 03:02:52,48.0,122.7167,66.56,34,100,7.9
283,Pechenga,RU,2022-06-01 03:02:53,69.5259,31.1703,49.32,67,4,4.12
284,Bama,NG,2022-06-01 03:02:53,11.5221,13.6856,81.07,52,9,9.35
285,Nome,US,2022-06-01 03:02:53,64.5011,-165.4064,64.47,43,0,6.91
286,Salalah,OM,2022-06-01 03:02:54,17.0151,54.0924,84.29,84,40,3.44
287,San Quintin,MX,2022-06-01 03:02:54,30.4833,-115.95,60.26,85,0,9.55
288,Atasu,KZ,2022-06-01 03:02:54,48.6814,71.6433,57.51,57,1,14.56
289,Mount Gambier,AU,2022-06-01 03:02:55,-37.8333,140.7667,52.45,59,99,8.77
290,Huarmey,PE,2022-06-01 03:02:55,-10.0681,-78.1522,63.54,84,97,9.37
291,Qaqortoq,GL,2022-06-01 03:02:55,60.7167,-46.0333,38.16,84,100,2.01
292,Tiznit,MA,2022-06-01 03:02:56,29.5833,-9.5,67.24,50,0,1.61
293,Mitsamiouli,KM,2022-06-01 03:02:56,-11.3847,43.2844,78.96,63,70,7.54
